Request,Response
Kubr,Iki x
Ko nkubwiye k nasoje kurya ukanseka,Muryakare mn
Rekrk,Saa sita man
Eee,Waryag icyx sh
Ifiriti nanyama,Wabyenjoyinze
Fooooo,Saw usigaj micyey ngo ury kawung
Harabura Ukwezi kose shn,Warasaz
Mukwacumi taliki 15,Hhhhhhhhh
Ujye wumva amakuru bro,Saw rek mbyizer
Urareba match,444 Nanimwe nar nasiba
"Basket x cyngw foot, Shn ubu banyabitsemo 5, City",Eee njye ni basket 2
"Hhh, Urikuyireba, Ubu x",Yg
"Urikureba, Ziriya tra point",Abanya angola bararenz ahubwo nagonz ukunu twabatsinz
"Niziriyq, Tra point twatsinze kumunota wanyuma",Yeg kuk bar baturushij
"mn batumereye, Nabi, Abasore uyu munsi banze kwirushya",Man mukany ndabivanam ndabon namashab ahar bafit ururusiya hariya siwaruterana denk
"Niwe, Muremure, Wambere, Muremure, Muriyi, Afrobasket yose, Sureba, Ntibigutangaze, Tubishyuye, Haracyari kare","Hhhh nago twatsinda rimwe,kabiri,gatatu man nibishobok"
Bamwita tavalesi,Uracyfit icyizer x br
Ntihabuze gato x,Twagerageje nitwa pfuy nkimbw
"Eee, Ark turacyara, Bambere",Yg mbabajwe nuk paul yawureby
"a family, Iraziranye, Mere we, Yarumu teacher""",Paul mvuz uramuz ark
"Eee, None",Hhhh klv mvuz kagame paul
Yg nyn,Noex shaho uwo paul wumwarimu uziranye niwanyu warumukuyeh
"Wakilofaweee, Mama wa nshobonzwa, Aziranye, Namere",Yitwa paul se
Mere we x,Nshobozwa
"Ee, Yitwa, Makurata, Yarigishaga mn",Eee ufit izih x nbr zibyamamarx ufit
Bihe x,Mbwir wanaa
Bihe nyn,Subw mur phone yae na muhanzi umukinnyi umunyamakuru ufit
"Shn wp, Cyrk sis",Hhh saw
"None x woe, Ufitende shn",Bruce melody na papa cyangwe na rusine patrick
"Hhhhhhh, Mn niyihe xxx, Wabonye ari neza mn",usets icy
Kambwire,Agacy
Xxx,Yand
Iri mukazi nyn,Nyin nbr yand
"Kanyko, Utunyamerika, Wabonye turi mukazi",Ntag nyibireba nasanz ntakamaro man nushk nae uzabirk bro
"Nagiraga, Numve, Ko, Ukibireba, Ngonguserereze, NaE, Nawe warabihaze x",Hoy mfit ama application ahita abi block
"Hhhh, Iwanyu baragufashe",Rekrk nitekerejeh nimyaka mfite ni intego nihaye ntcy nagerah nyireba biriy bigory
"Hhhhh, Shn warakuze",Yg man ubundabiz urabishk kubireb ark think twice
"Ark nitujyera skl ukabona winny, Hhhh, Rk rk chrome, Narayisibye nanjye, Knd njyewe niyonabirebaga nirindaga gufata dick yanjye",Hoy man woe ubundabiz wakz movit
"Rk rk, Bro",Eee gus ark ndi gutereta utwana twu uturere twox ng nazapfa naby umugab
Hhhhhhhh,Woec
"mn hari video narebye impa isomo, Hhhhhhhh, Shn wap",Video ivug kucyi
Kubireka,Yar imez gut
"Nez mn yaririmo, ISOMO",Gut nyn nsobanurir
Long story,Ntrb
Eee,Urigukorcy x
Ntcy,hhh nibw ucyiybn man
Wpp,Ax k utajyift phone
"Narindi, Mubantu, Benshi",Hh ubahoram x
Long story,Ark klv
Ako,Kajambo
Wakize vuba,Eeee
Hhhhhh,"None, None"
Nta mbs,Mfit
Ark,Aka
Safari,Ndakazi
Hmmmmmmmmmmmmm,Saw
Eee,Vp
Makurata ariguc ibintu,"mn match, Uyumunsi, Sinayirwbye, None ndikubona, Nububitarikwemera"
Shn Nay turayitsinzw,Iraranjyiye x
Hasigay amasegonda 4 knd ni 65 Kur 71,"Ntakundi, Nyn, Turatashye"
Cyn pe,Eee
Urigukorcyx,Ntcy
Uraryamy,"Yg, Ndanjy, ije, Kureba, Hotel, Mombai"
Kur family noex sitwayireby skl,"Ntg, Twatanjyiye"
Eee,"Yari, Wanee"
Njyew narayireby man family bahoz movie zimw,Cykz
Icy,Cyakoza
knd nang ubw bugory bwae,"Ubuhe x, Niba nUtazi, Impine ya, Cykz nikibazo"
Ntag mbiyobewe ahubw wandits iy cykz ah idakenew knd bitanajyany niby war ubajijw,"Cykz nyn ibyo uvuga nibyo ko bashyiraho film zimwe, Nicyo narinshatse kuvuga, Ark ubundi urimuzima"
eee ndimuzim nyn,Ntcy
Nkubwir akajambo br,Ntrb
t reply ur message(seen) there self have who dont,Then if u reply inferior people messages u will get an answer from any one just be normal
Cykz nibyoda,Yea mn gd night akavura karaguye
Ntrb,Vp
Frsh,man uzk u rwanda rwatashy
"Sinabiku, Bwiye x",Yallah makurata wae dis
Iki,Siwoe wambwiyek nshobozwa koyitwa makulata
"Hhhhhhhhhhh, Merewe, mn",Eeeh
Ii,Vip
Frsh,Wabonye
Imipira,Ya
Safari nyubaha,"Inki, Eee, Nayibonye"
Hhhh,Nahise nseka
Hhhhh,Sha nuk safari atazagrk
"Shn yarikuba, Afite izina none ho",
Ax namakr yew,"Turavugana, None"
Hehe,Phone
"m nbr z""",Kanze
Ntrb,Nzishake
None,man ndikwirebera show za kivumbi
Wazirebaga kuki,You tube
Eee kur za yollo night mbs,Eee
Shn njyebarazim ark bakazitwarir kuk  nta touch magaz man uziko mbankoresh ga touche brd,Ntakundi nyn
Ndikumaganya mabi mabi cyane,"a donath, Sis we yapfuye"""
Yawe man shn yihangane wabibwiw nicyx,"Twavuganye, None"
Ntrb,Vp
Well,Byar bmz gt byabiryo
Frsh,Um pic ndebe
Rk narabiretse,Hhh bro nabikubise shah
"Hhhhhhhhh, Nariyeho duke",Hhh kubr
Nahise ngwa ivutu,Hhh nabiriy mit ryam mbyuk saa 8pm
Hhhhhhh,Serie
Eeee,Uriy wa postinz kur story nie sister wae wambwirag
Shn wapp turi friends bisanzwe,Eee gxr
Iki x,Nagizeng ni sis wae munda klv
Wpp mn njyira sis umwe knd afite umugabo,Eee ntrb murabana bangah iwanyu x
,Ee
Woe,Twe niba 3
"Uruwakabiri sibyo, Twenumukobwa umwe, Mubahungu 3",Nduwagatatu umukuru ni umuhungu hakaba umukobw mohagati  ni umukobw umwe mubahungu babiri
Hhhh,Kusek x klv
Turikimwe,Nsohokany na cikanyi
"Hhhhhh, Mwahuriyehe x",Yaje Home
Man Gxr naya ga touche yanjye bayindashe,"Hhhhhhh, Hhhhhhhhhhh"
Ubayiki,Ntrb
Hhhh,Ngo gtx ghee wanjy
Shnnnn mn mere ambwiye ijambo rira mbabaza,Gute
Ngo nimba nshaka phone ngo njye gukora ikiyede,None
None,Natwe nibyo batubwir
Knd nariyakiriyw,Nzarindir sister iyo akoresha nabona indi azayindemer
Ntabirenz mhn,Bizi woe kontabirenze nyn
Hhhh,Tuza mn
Nae,Uzagerah ubona phone utabizi
Woe senga,Vp vp
"Well, Kbx",Ngo bmz gte
Well,Kbs
"Phone, Yawe, Yariyaravuyeho",Munshe zo kwa elvin
Mn barakanyibye,"Hhhhh, Cyajyihe, Mbona ujyayo"
Yeg,Shn
Nibwo bakanyibye,"Hhhh, Sorry kbx"
Ntrb,Vp vp
"Frsh, None, Watch bro, Kbx, Hhhhhh",Hhhhh
Ndaz kurb Ubu nta mbs mfit,None
Ntukibe,None x ni woe wabyanditse
Yg,Kbr
Ntrb nyn nubwo umbeshye reka nkarishe hit,Serie mn Ninjyewe Wakanditse
Noex Singiyi Ifoto Nakoresheje,None
None,None
Kabeshye feredina,Saw ntrb Bifate Ukubishaka
Okay,Yh
Mn,Harigihe Rimwe narimwe Mbankeneye Gutwika
Sorry bro,Ntrb mn
Yp,Ni nyogokurux
"Yg, Niwe, Wandeze",Yawe sorry kbs
Thank x bro,Yp
Vp,Vp
Green card yatanjyiye,Niba Gaswere
Naranabyibagiwe,Hhhhhhh k
Uzabikine,Kame
"mn gukora ishusho biravuna woe ntabyo uzi staggo zibaziriyo, Ntago namuseka",Hhhhh
Naex,Wabikora
"None, Uzi stragg zari ziri muriyi PC",Hhhh
Nizih,"None, Mwatashye twakoze aga party"
Hhhhhhhh,Cyz
Vp,Well
Kutj,Ndikwirebera indirimbo
Kuki,Prime
Eee njy ndikurb mv,Legends of tomorrow
Iyox icah,Isibo
Nayirih,Yarajyiye
Ndaft,Jya tsap
Naguz phone,Kbx
Yp,Um nbr zibyana bya skl
Kanz kurebere kbx,Ntrb
Vp,Vp
Indirimbo zingah ahise amanuz Lamborghini,mn Entertainment yo hanze nka za Nigeria Ghana iba irenze fooo kuko abenshi bakoresha social media
Cyazeee,Ni fame
Reba the flash kuri prime tv,Rkrk
Ntago nyikunda,Niyo narindi kwirebera
Eeeeh,Ntrb ark
,Uma website nareberah film
Shn nabankubeshye,Ntrb
Nayibonye,Yitw goojara
Kanyirebe njye,Maz kurb
All eyes on me ya 2pac,"mn njye ntago ziri gukinika, None"
Onjyera uyi searching,Umv mhn nkubaz
Vp,Reba indimbo nshyashya ya Kenny sol bita forget
Rekandebe,mn ni well wabonye video
Nayondi kubon kur IG Music,Reba you tube
Ndaje,None
Hhhh,None
Wpppp,Hhh
None,"Niwoe x, Hhhhhh, Uziko ntarindi gufata"
Hhhhh,Ubony icy
Hhhhhh,Mbwir nyn
Ubony icy,Byose
Hhhh,Gxr
Knd iy ni profile yuwo muntu,Hhhhhhhhhhhhhhhhhhh nikajuga nyn
Hhh,Sinkibikunda
Nanjye kuv twav skl sindarebah,Njyena birebye nka 5 gusa
Hhhh,Yamayinka Nyakugira Ihene yishashi muruhongore ndi umushumba uhigura agahiga ibyahizwe nabasazi
Hh,Sissy wae afite akirenjye nkicyawe
Hoy yambar 37,Narinjyize
Hhhh,Rkrk
Eeeee,Woec yambara kangah
Njyese ko yabonye umugabo,Eeee
Nanjy ni vuba,Ese mhn uzazana ya Jumper
Nta jamper nibye zose narazibahaye,Wazihaye bande
Prefe,Nta nimw usigaranye
Yg,Gxr
Prefe wamuhay imw,Wp
Noec iy athanase yarafit,None x Athanase numwana
Eeeee,Vp
None,Bmz btc
Frsh,Kivumbi uracyamwemera
Foooooo,Hhhhh
Cyazeee,Kbx
Noec mhn Ng bmz btc,Skl mn
Hhhh,Ur ready
Ygg,Ubwo ufit kechi
Ntanakimwe,Gxr
None,Mhn nzazana ya NB
"K, mn ndikwiga uburyo wa harking phone",Hhhh
Enjoy that lesson,mn ntukabe pingayi rk
Ntrb,Mhn ntago ntagupinze
Kuko nuzuranye ibitabo hano byinshi bibyigisha,"mn birakomeye harikuzamo ibyo bita mathematic function, None, Hhhhhh k"
Mhn Biragoye nabyiz week mita nduha,Nanjye
Fooo,Bisaba Kubyiga Per dar Condition
Eeee,Fooo
Ex mhn urashk kubimeny,mn haracyari igihe
Yego mhn Kuko byakuyaza,Kbx
Sama,Yoo
Ikiyate,Frsh
Ese wabonye angah mhn,"34, Woe x"
Congz brd,39
"Kbx, Byaciyemo, IMANA ishimwe",Cyanee
"Cyzzz nta love, Ugira nawe",Gutee
Ntano guhamagara,Shiaa
Bro ntabi inite mba nfit,"K, 100, mn kuburyo, Utahamagara"
Mhn mbanaguze mbs,Knd nae tsap
Uba wiburishije,"Hhhhhh, K"
Jyayo,Nyne
Iiii,Nuko shiaaa
,Noec wallah
"Ni kuell, Mwn, Uzi cyobisobanuye",Cyazeee
Iki,"Ikibazo, Wahala"
Ngewec mvuze wahala cg wallah,"A was lost,"
Hhhh,Ntrb
"Ngooo, Umbwiye, Iki x",nUmva
Reka ryame nahejoo peee,Ntrb da true
Yessir ma ghee,Muraziranyeee
"Wppp, I mean, Umwe twiganyeee",Hoyaa
Ni uwo twigana,"Wppp, Okay"
Ntrv,Hhhh
Pt,Yooo ghiiii freee
Bmz gtx,Ntashitani
Kbs shumi yange,Woe x
Ni isabane nta gitima kibi,Urajya night club mumahoro
Inde,"Woe pp, Ubunjye ejoo ni shuri"
Waragowe mwn,Oe bireke
Ntakundi mn,Ntrb kbs
Ako bro uziko nta message Zawe njya mbona muri inbox,Kubera iki x mn
Mbona notification iyo nayikanzeho ngo mite nkusubiza iyo nge muri message sinkubona bisabak nku searching,"Sinziiii tuhhhh broooo, Ejoooo ni bddd yanjyeee nyishura zaaa 200, Wansigayemo"
Tuzarya cakee,Yiwiii
"yahe x shnn, Naga saa kumii",Yiwanyun
Ngooo,Ntcyyyyy
Yooo,Ma gheeee
Bjr br,
Vpp mwn,
Ni wanezzzzz,Ntrb
"Ghee, Karim",Aslam Alaikum
Alkumusalam wa barakatuuuu,Kabisa muhungu wange
Ako mn account yae ifite ikibazo,Uziko mbanza kugu searching
Iyawe ahbw,Tokaa
Noec oe urambona,"Mperuka, Uft account, Irenzeeee, Niba byaraje kujyendaa gute ..., Yg"
Hhh,Narayiriy
"Cgg barayikuriye, Nka rwema shn",Ndakubona shnnn
None,Ntaka TikTok
"Imbwa ziragwira, Ngo elv ejo yari bd ye",
Eeeh,
Euanaaa,Hhhhhh
Vp vp,Munywanyi
Namahoro,Hhhhh nHhhh
"mn nimbwa yo kuri rainbow kuri pool, Rwema yatubwiyeko, Itaryana, Tuyiyenzahooo, Ica umugoziiii, Yaramotseeeeeeeeeee",
Rwema wec ngaho atinya imbwa,Yebababababababababaweee iturize
hhh,Yarirutse atava aho ari
,Ibaze ubwo agatambwe kee
Ni cm,Ako bro nsigaye ndo umu data scientist
Nsigaye rwana nama algebra,"Hhhhhhh, Rk jyendaaa"
Wallah,Ndabura x ngo uko bigenza
Ibikii,Uburyo nyn ubikora
Shiaa bro nimu bya comp,Ako ka boro nari nfafite
"Hhh, Ndakibukaaa",Iyi cartoon iftt agashinya nkaka savio
,None
"Hhhhhhhhhhhhhhhhhhhhhhhh,",Fire fire
We deserve it broo,Og
Would you die for nyansh,
"t die for nyshh""",Nah
Bro you can die,Hhhhhhhhhhhhhhhhhhhhhhhh
Yampaaaa,Urasekaa
Living for nyash and die for nysh,Yea man
,Reba story ya the cat akakanys
The cat,Eeh
"Ngo bakigabanyeee, Nabyumvishee",Cg gukoreshaaa
Nyansh,Bayigabanyeee
Rekarekaaaa,Yggg
None,Kugabanya birihe
Ngooo barakigabanya nanjye byantunguyee narinziko bacyo njyereshaa,Ako warasazee
Urumva hari umu dada wagabanyisha nyash,"brooo, Nanjye nabyumvishee"
Tokaaa,Yoo brd man
Ngo gt,Flx brh
Oe,"Ebana, Uyu munsi, Wari mulefuu, Bya dange"
Gutx brh,
Byagenz gut,Ebana nabyutse saa 5:00
Am or pm,"Kuri za boro zakwifotozaa, I.d"
Eeeh,Harya nurayibonaa
Ko ari danger c,Ako si hafi yiwanyuc mn
Najyiye remera,Eeh noec iyo ujya kukabind
Nwn,"Sinzi, Nabitekereje nyuma"
Hh ntakundii nyine bruh,Umunaniro niwose
Noe waryamye,Nange ndikunkwa amazi wagirang bandoze
Ibazeko nankweye ibikombe 9 kuva saa munani,"Ntgg, Ari sawww, Bishobora, Gutuma, Umunyu ugabanuka, Mu mubirii"
,"Seka, Nubuzima, Bwawe"
Ako hari ikibi uzi mukunkwa amzi,"Ygggggg, Urenjyeje liters zajyenwe kuri body yawee, Bi neutralize salt in the body, Nanjye narinziko nta effect yamazi kuyanywa mubuzima"
Ahaa ntrb,Doctor
I appreciate,Ako nubundi nayankweye pee
"Hhh byahe x, Mwn",Noec simba numva inama zawe nyine nkiza ba doctor
None,"Hhh nzaba ndeba ibaaa daaa, b*"
None,"Uhmmmm, Saw, None, Sodium level below, Nn ho urasubijweee, Sibyoo"
Oyaa,Ntago aribyo
Mwn,"Nn x nturi gusoma, May lead to hyponatremia"
Saw saw Doctor,Hhh ntggg wabyemeraaaa
!Ntabyemeye Doctor,Noec
"Wampamagayee, Nsohotse",Eeeh
Ntrb,"Ngo, Ndabura gt x"
Shiaa bro mfite ubukene bumwe bwa danger,"Hhh, Nyumvira"
Shiaa nihatarr,"Wajuiye, y*, Basi, Ubwiyibajyiza"
Ase ndeba right nkabubona left nkabubona nareba hejuru nkabubona nareba hasi nkabubona ubwo nabwiyibagiza gute,Br
"Urirenga njyiza, Mwn",Ahaa
Aba ari dangerr,Mwn
Peehhh,Noec
Shnn numutekano,Shiaa
Bonne nuit ghee,"Ntrbbbb, Shumii, Yanguu, Munguu akwiteho"
Bjr br,Yoyo
Bm gt,"Fuegoo, Thing"
Urigukoriki,Nta mbs mfite mwn
Yawifi yiwanyu x,Sinakubwiyeko ntari murugo mwn
Urihe,Gatsibo
https://fb.watch/mqcbTH-iBA/?mibextid=g8XNKnyYc32Nqn80,https://fb.watch/mqc49Weo6e/?mibextid=g8XNKnyYc32Nqn80
Shnn njyiye nakemerako uftt ubukene wa musorewe,Erh sana
Hhhhhhhhhhhhhhhhhhhhhhhh,Ejo nzaz br
"Cyzzzzzzzzz, Tugwiremoooo, Pehhhhh",Fooo
Ni ikubikurikirana,Sanaa
"Nizereko, Uzanye ikwaca",Habee
Nje mboko boko,Ako nzanye umutwe urimo ikintu
"Hhhhhhhhhhhhhhhhhhhhhhhh, Nyumviraaaa",Serieee
Ako doo zo nazoo br,Nyumviraaaa
Vp,Flex
You started a video chat,Video chat ended
Ndikumwe na mere,Yoo
None,Ndakubon shiaa
"Agahezooo, Pp",Noec br iriy phonee
Niyand,Nu mu nigga twigana
Oya iriya na gabe,Ni pixel ye
eeh,ninezaaa
Hhhhh,Ntrb
Yasubije   ku butumwa bwawe,Ni fake nae
Bruh,My Turn
Uhmmmm seriously x,Foo
Uhmmmm ujyiye kudutamo x ???,Ee foo
Ndikwinjiza ubuceri ahantu,"Hhhhhhhhhhhhhhhhhhhhhhhh, Courage, My brother, Kbxxxxx"
Sawa rero,"Ibyumuvandi mweee, Ni byanjyeee"
None,
Ntamwana uvuka ngo yuzure Ingo byiii mn,Sawa
"Bizacamoi, Eee fooo",Ntanga utwo tugambo twawe
"Bizacamoi, Mn izo ni courage, Zabasaza, Pole pole njio mwendo, Gahoro gahoro nirwo rugendooo bizacamo ujye ukorera ama milli",Yahuzoo
Ark mwanga ababaha courage,Zigumane izo courage zae ntazo nshaka
Izo ntago ari courage gxr ni inyuro klvee,"Arkkkkkkk, Uzi gusomaaaaa, Wambwaweee, Bisobanuye ngoo ntakintu ukora ngoo gihite ki running kibe successful gahoro gahoro ni rwo rugendoo"
Noec ibyo narimbikubajije,Ko nae science yakunwaye
,Sorry
Yeam mn,", My bad, Ntrbbbb"
Foo,Kaniryamire
Poa ntrb,Bruh
Es shiaa unsuye ryar,"Ndicuye, Vubaaa, Kbxxxxx"
Siwumvac,Ahbww itegure
Ntrb,Ndi ready
Ibyo ni oe wenyine ubikora,Gcz
We kurenze x,Gxr mama mama yakwicaa
None,Knd bro uri ikigoryiii
Uziko narindi kumw na mereeee,Gxr
Gxr,Bro uri imbwa knyk
Gxrrrrrrr,Gxre
Gxr,Hhhhhhhhhhhhhhhhhhhhhhhh
Winsekeraa,Aho Nisa cynnnnn
Gxr,Ndebera ku isibo ababyinnyi bariho wallah
"Nta tv, Indi hafi",Eeh
You started a video chat,Video chat ended
"Hhh, Aga show",Huzoo
"None, None, Mbwira, None",Ako kambere ninezaaa
Ka cactus,Ako ngirango karacuya
mn nabuze boro pehhhhh,Baza udu sb turebe
Hariya mwambar black gusa,"Twumukara x, Ndatubona"
"Yg, Mn",Ako iriya cactus ninezaa
Bro,Hh
"ndikubona ari fakeeeeee, Bya danger",Noec ubwo
Hitamo nyine turebe,Izindi uko zimz
Nyn nshake aga SB dunk,Foo
"Ntr, Aka boro ndagacyuye asantee, Ma gheee",Kakandi kaka cactus
Ygg,Ninezaa
Byasanay,"Ni lemons, Nyn"
Foo ni ukuyimenyeraa,"Tuhhhhhhhhhhhh, None"
Niyo mwn,"Arakubwirako, Idahari"
Mureke shiaa,Sinzi icyo ashaka
Hhh,Bagakase
,Hhhhhhhhhhhhhhhhhhhhhhhh
Noec shiaa,Vp
Flex,Hy Wiz
Saw,Hello
Urindex ko nakume ye,Vp
You are now connected on Messenger,vp se musaza
pow mn,ark man 2nd term wankoreye ubufu
kech  x mn  nanny sinjy MN. Ub. x ujyiy kuzan.  iyih mn,nayo nzayizana ni naha
Uriumuhanga,Hhhhh
Vp,Poaaaa
Kucecets 4,Me
What,Do you have G T A game please
Yes I have in My Pc GTA SA GTA 3 GTA IV GTA VC,Please send me your G T A 3   please
Why,"Now, Please"
Which way,By Whatsapp
"m using tabley""",Ok
But Which one on the picture u have,You are now connected on Messenger
Aba ba petit bishwe ni kise?,Accident sha
Nibabana. Bishwe ni ikamyo,VP
Kai missed your call.,Hey
Sony vp bro,"Poa, Pt"
ng gutx umusa,Flx
Wamae nbr yae,Vp
Sup,Eii
Bmz gtx,Fresh bruv
Hm nihex brsk,You are now connected on Messenger
Hi,Ei
Hi,Ayo
Hi,
Sw,None
You are now connected on Messenger,Eii
You are now connected on Messenger,Eii
You are now connected on Messenger,None
hello,Umzt
Hi,Hi
Waratashy,Cyne
Uzasubiray ryar x,Shn sinz
"Eeeh, Eeeh",Woec
Ejo,Eeeh
Na gakoney yaratashy,Wp
Eeeh,Sup
Bt x,Nez mwn
Woec,Nang t gus warampemukiy
Gute,Woe x ntabyuz
Shn Ntag ndigushona,Ibintu wagiy kunsura shine boy
Ngukii,Sorry  Ibintu wagiy kubwira shine boy
Ntcy namubwiy shine boy gxr,Eeeh sha nyn warankoze t
Ese nibiki,Tho
Ibyo twakoz,Gxr
Urikubona Nabwir shine boy Ibyo twakoze klv Uzik Nanjy naba ndi kwisebya,Ubwo sinz nnx konumvishe abiz
Mhn ereg umenyek ba proby Bari bahari knd bariya Mhn ni Aba petit,Ntaby babony
Eeeh,Sawa
Njyew babimbwiye doro,Eeeh
None,Yoo
Weee,Hi
Bmz gt,Ni saw
Eeh,Woe x
Fresh,Usigaye wigahec
Kimironko,Kimironkoo
Kukihe kigo,
Ketha,Eeh
Woe x,George fox
Kibahe x,Kicukiro
Ahaganah,Kagarama
Eeeeh,You are now connected on Messenger
Hi,Hy
Amkrc,Ni mez
Grt,Hm nihex
Kimisagara,Oky
Yh,None
You play Pubg,Yes
"0, Lite or",Pubg mobile
Add me nSmillingTundra,"t know how to add anyone"""
Give me your username i will add you,On Facebook name Wiz cool marcom x
No your PUBG username,Yes
Do you know many thing about computer,I know a lot
I installed Driver then my computer i rebooted then reboot endless,The driver you installed is either damaged or corrupt
"t know""",I downloaded
"t download drivers""",I downloaded Invidia
Hi,I love Jesus name . Send to 37people u will pass all exams in life! If u  ignore u will surely fail dis  year ......
You are now connected on Messenger,Kareaga is waving at you!
Sup,hyy
Hw ar u doing,well
Utuyhx,kimironk
Grt nic to mt wit u,me too
Yh,Noex wigah
apade,Grt mfit bashuti bang bahig
Hi,Bouu
Yoo,Wassup
You are now connected on Messenger,Eii darling
Hiii,You are now connected on Messenger
Eii,Hi
Hlo,Eii
You are now connected on Messenger,vp se bro
Nisawa man,amakuru se kenny
Nisawa araho,Nonnes mn uzajya school ryari
Ejo man,Tuzrguhurira gogosi
Wape bro,Fuck
Owen Wabuz Nkah Atabah,Slm
Poa,Umeze gute
Mez nez woec,Frsh
Nyamata gut,Frsh
Ngo uturanye n serge,Yego
Musurane nyin,Turahorana
Yibe nae,Kubera iki x
Njye nabaturany,Hhhhh srry
Hh,Ujye utwika itike
Gxr,Nikur
Uri  hafi ninka 1200,Hhhh
Series,Vp kaper
Vp,Poer umusa bmz gutx
Frsh ntamutima mubi,Ngah x mwan wi inyamata ndemer
Vip,Vp
Ngo gtx baba,"Gxr, Frsh"
Kunukax baba,Vp
Yoooo,Bmz gt
"Frsh pp, Oe x",Nanjy n flx kbs ex woe uzagrk skl
"Yego kubera, Baguhaye ravis x",Hoy ark habuz h gato
Vp,Vp
Power kbs,Bmz btc
Ntamutima mubi,Okay
Nonese x,Ni flx kbs
Woec,yew
Yooooo,Bmz gtx
Frsh,Ex kub utvg
Iki x,Ok
What,Vp mn ni hertier 2
Oooh amakr broskii,Kame
Hi,Hiii
Amkrc mhn,"Nmz, Oex"
Nez kbc,Undushij icyx
"Ntacy, Ko ntakumenyx",Thierry
Wuh,3C
Iranzi x,Yego
"Nashony, Bmz btx ghee",Nez kbc
Woec,"Kwli, Nanjy"
Kbc,Es utuyu
Utuyeh,Gisozi oex
Kicukiro,"Nzagusur,"
Hhh,Ntrn
Ntrb,Yy
Hh,Yg
None,Nyiher pics zaex
None,Incwi
Hhhh,Gxr
"Hhhh, Inziz mn",Inyi
Pic,Nae banz um iyae
None,Cute
Kbc,Ziba
Serie mhn,Meyisi
Yp,Noec ng bmz gt
"Nnz, Oex",Nanjy n flx kbc
Kk,Woec
"Nanjy, Kbx, Urikuki x",Cyihec ubw
Hhhh wakibur x,Shn urebye ntcy kbc
Woe,Nanjy kwl
Nguki,Nanjy ntacy 2
Ubukene bwahumue,None
Hhhhh,Wllh
Yy,None
"Happy new year, Bruh",U2
Yiii,None
Bn nuit,Nae
None,None
None,Mrng
Mrng,Ng bmz gtc
Nnz oex vpp,Ni poa kbc
Wariec,Glad
None,"Eg, Oex"
Nsoj mukny,Ok
None,"Br, Bt"
Ni well,Bmz btc
"K, Nnz kwl",Cyz kbs
Urigukoricyx,"Ntigutarad, S"
Hhh uvah ujyah,Mva gisozi njy kabug
Namagurux,Yiii
Gxree,Wllh
Yamayinka mhn nubaho,Nnx sibisanzw
Nikur mhn serie,Hhhhh
Noec ubw ujyiy nagahund,Ygo
Hhh,Nae ur tiyatire
"Hhhhh, Weee",Yoooo
Bmz gtc,Nnz
Kbs,Urigukoricyx
Oex,Ni well 2
,None
"None, Bt",Nibyiz woec umzt
Nz kwl nnx mn schl ni ryr,Sinz ark ni7
Nako Ni kuwa 2,Ehnn
None,Hey u!
Yoo,Bmz bt
Nnz mn ax k ub wigiz uwadanger,Shn Wapi kbs
Ahubw ni Ukudahuz rimw na rimw,ehn! ntukvg
Wasang njy chat uvuyeh cg Mvah Ujyiyeh,ygo
Yh,Ng bmz gtx
nnz oex,Flx tuh
Eii,eiii
Ninezac Ange,"yean, hbu??"
Blessed,Urigukorikic mwana
"great, sh ntactyo, oe",Ndikuva Town
Ndimuri bus,"eeeh, wari wagiye mubiki x"
Najyanye Na Sis ahantu tuh,Utuyehec
"kimironko, eeeh ndafata",Yeaa
Wiga hehec,"glory, u"
George Fox,Wig iki
"eeeh, mce, oe",SOD
Nineza Ark,
ukuboro,Ndahageze noeh
Ng gtx wallah,Uhm?
sh n wane wa chill,Waneza kbs
glad,Harya Mce Namwe Simwiga Boro za JavaScript
,ibyo simbizi sinshaka no kubimenya muraka kamwanya bruh ubu ishuri narirangije
Eeh,yeann
Yoo,
Amkrc,"ni bon, oe??"
Fresh,Urigukorikic
"sh ntacyo, oe",Ndi chat biraho
Noec ng gt,n bon kuel
Weekend ngo gutec,
Harya utuyeh,kimironko
Eeh,Ntrb
oe,Mwanaa
Kagaramaa,Ahubw ntamo tsap nbr Yae
"ntayo sh, 4ne yange yarakwamye",Ndaftaaa
Ntrb,Urigukorikic rn
sh chat,Poer nahejooo
Umvac,yeann
Poer,Yoo
eiii,Amkrc
"sh n bon, u",Blessed
Urigukorikic,"Sh ntacyo, Ubu ngiye kuryama"
Nangeee,Wallah
Bonne Nuit,Mwana
,eiii
Yoo,Ninezac Ange
,"am good, kabisa"
Woo,hii
Eiii,umztc
"sh n bon, wowe?/",Fresh
eeeh,Ah
Vpx bro,Saw wowe xx mn
Nange ni sw,"Vac Ute xxx, Mi"
Ngewe noneho sindakora work,Hhhhh
Pt Siwoe Nikanuburire Uyu Ni Djazir,Nyn naberekag stemp
OK ntrb,None
Chris vp,Poa
Vc gut,Frx kbx
Ok,Oex
Saw cyn kuk Life is Good,Kbx
Hhhh,Ex VC ukora Fashion
"Yp, Bkz",Hehe
Kinjaz,WTF
None,Uranyemej
Hh oex,Hm njiye gutmbr
Kbx,Utuyh
Igikond,Njy ni Kckr
Hehx,Sport view
Ujya ujya kogx,Rimwe n rimwe
Nanjye njyanz,Ok
None,Nugaruk Uzansure
